id,6,7,8,9,10,mother
1,111,116.4,121.7,126.3,130.5,small
2,110,115.8,121.5,126.6,131.4,small
3,113.7,119.7,125.3,130.1,136,small
4,114,118.9,124.6,129.1,134,small
5,114.5,118,126.4,131.2,135,small
6,112,117.3,124.4,129.2,135.2,small
7,116,122,126.6,132.6,137.6,medium
8,117.6,123.2,129.3,134.5,138.9,medium
9,121,127.3,134.5,139.9,145.4,medium
10,114.5,119,124,130,135.1,medium
11,117.4,123.2,129.5,134.5,140,medium
12,113.7,119.7,125.3,130.1,135.9,medium
13,113.6,119.1,124.8,130.8,136.3,medium
14,120.4,125,132,136.6,140.7,tall
15,120.2,128.5,134.6,141,146.5,tall
16,118.9,125.6,132.1,139.1,144,tall
17,120.7,126.7,133.8,140.7,146,tall
18,121,128.1,134.3,140.3,144,tall
19,115.9,121.3,127.4,135.1,141.1,tall
20,125.1,131.8,141.3,146.8,152.3,tall